Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Australia,AUS,GDP,1.72806E+12,1.69086E+12,1.55674E+12,1.32841E+12,1.39272E+12,1.42781E+12,1.32558E+12,1.20684E+12,1.3513E+12,1.46827E+12,1.57712E+12,1.54753E+12,1.39861E+12,1.14884E+12,9.28762E+11,1.05611E+12,8.55007E+11,7.48418E+11,6.95693E+11,6.1466E+11,4.67739E+11,3.95789E+11,3.79629E+11,4.16168E+11
Australia,AUS,FDI,1.879591719,4.161495042,2.024681946,1.353256055,2.781967875,4.250333048,3.636089515,3.560565952,3.470209018,4.304706644,3.453927666,3.720199337,4.688815155,3.094839434,3.115218929,4.277015978,5.197717937,4.082092962,-3.606927925,6.980716853,1.920995362,3.703067305,2.823052147,3.578599219
Australia,AUS,GDPgr,3.4419922,4.242385553,2.111168148,-0.119590736,2.171545057,2.878469715,2.279591798,2.759385972,2.190169287,2.595284116,2.602193394,3.916709425,2.407080183,2.219980265,1.892555819,3.586266952,3.773321713,2.755346106,3.154167532,4.224284814,3.090761905,3.979585681,2.025105535,3.921502931
Australia,AUS,Oilrents,..,..,0.264201375,0.108188866,0.229199448,0.264744672,0.198665474,0.173168976,0.197899254,0.488872501,0.538515504,0.679385653,0.877828805,0.706854443,0.553069183,0.935960985,0.871982126,0.865992075,0.887355263,0.737890122,0.75762617,0.803940894,0.720452604,0.876745345
Australia,AUS,Taxrevenue,..,23.62795125,23.06126793,22.59092489,23.40844001,23.20844496,22.11036864,22.27552213,21.87407068,21.89787868,21.94434163,21.09908592,20.32252448,20.47799546,22.02100614,24.20769581,24.03934536,24.51177239,24.75454972,24.25826506,24.29996962,23.54814488,24.85786017,23.02414158
Australia,AUS,ControlCorruption,1.781204939,1.764367104,1.707388759,1.632980585,1.788073659,1.767454863,1.752974749,1.772251964,1.841308117,1.849272132,1.777833104,1.977507234,2.037909031,2.02361083,2.041763067,2.027342558,2.00087285,1.950813174,1.942667723,2.005868912,1.895287037,1.761436343,..,1.862088323
Australia,AUS,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,GDP,5.11685E+11,4.71774E+11,4.80467E+11,4.34398E+11,4.42984E+11,4.52582E+11,4.14926E+11,3.93687E+11,3.79546E+11,4.38556E+11,4.26581E+11,4.0675E+11,4.28955E+11,3.89828E+11,3.9929E+11,4.29234E+11,3.8676E+11,3.33906E+11,3.13952E+11,2.9921E+11,2.6078E+11,2.12837E+11,1.96477E+11,1.96182E+11
Austria,AUT,FDI,0.571627955,3.031433627,3.954093238,-2.763320707,-2.852556176,-6.151192072,3.381802756,-7.239899042,-1.804095111,0.389557041,-0.302633479,1.283002792,5.35812778,-5.645396702,3.581371969,1.46799597,17.80581135,3.144734688,25.83070261,1.064017002,2.375575502,0.06500105,2.895722431,4.333236887
Austria,AUT,GDPgr,-0.954962529,5.277894485,4.795328857,-6.318255092,1.754976196,2.484221141,2.27224992,2.117219645,1.303523318,0.75579885,-0.250726423,0.628246239,2.927468002,1.80898243,-3.586264726,1.453305621,3.775224687,3.269336015,2.320365143,2.565255341,1.141565045,1.484368776,1.316987496,3.18952293
Austria,AUT,Oilrents,..,..,0.037803787,0.017275692,0.036825509,0.042658846,0.030163833,0.023251876,0.034077696,0.076914031,0.074950157,0.084334239,0.073845969,0.059914936,0.053430235,0.088444503,0.058689956,0.066274364,0.060495703,0.048536726,0.039205024,0.042053366,0.044088403,0.061037723
Austria,AUT,Taxrevenue,25.89049505,26.20686359,26.01481748,24.66600578,25.80966204,25.72164486,25.76168611,25.82202777,27.21602741,26.84190273,26.77416869,26.18309943,25.64663915,25.49573389,25.39736686,26.24814002,25.59500507,25.19434067,25.64896166,26.47583053,26.81335909,27.17597627,28.10496967,26.35825032
Austria,AUT,ControlCorruption,1.133653283,1.258586764,1.24272728,1.477709413,1.521324396,1.568587184,1.50082016,1.496880531,1.472043753,1.466501832,1.537276983,1.427254438,1.47028935,1.596122026,1.6940341,1.828758121,2.003345251,1.904876947,1.912423491,2.026624441,1.963868618,1.915159225,..,1.751058698
Austria,AUT,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,GDP,72428470588,78807470588,54825411765,42693000000,48174235294,47112470052,40866627352,37866996883,53076235355,75239785452,74160560124,69679944504,65952796428,52909294792,44292427185,48851293785,33049419431,20981929498,13245421881,8680405741,7276413079,6236087738,5707616204,5272615723
Azerbaijan,AZE,FDI,0.349083721,-5.677737106,-3.114734473,1.187903872,3.121830561,2.977975891,7.016695984,11.88281715,7.626068377,5.888461767,3.532115987,7.596518679,6.80050012,6.337255133,6.547462364,8.161108317,13.9011035,21.38014047,33.79579783,54.36505091,55.07287666,32.46549896,14.35939227,2.46437455
